ID_fishnet,slope_mean,flowacc_mean,NEAR_DIST,elevation_mean,inundation_reclass,impervious_area
126,0.275572411,7.771084337,1683.532088,,1,10142.28231
127,0.380305019,2.354545455,1832.169374,980.1084337,1,0
286,0.447265579,14.95041322,1550.671455,980.4285714,1,0
287,0.414338824,2.41322314,1710.890495,980.8429752,1,0
288,0.732142057,13.45098039,1878.752408,981.5041322,1,0
446,0.302071197,18.84545455,1433.486531,981.2,1,0
447,0.168931749,6.736363636,1605.443228,981.7181818,1,0
448,0.757821521,36.67,1783.258894,981.9454545,1,0
449,0.982706089,70.3,1965.34389,980.44,1,0
566,7.554253145,7.353535354,5791.893334,1085.972222,1,0
567,2.455814603,34.82828283,5609.354993,1077.292929,1,0
568,1.912588435,7.322222222,5428.047392,1069.757576,1,0
569,2.811394815,4.636363636,5248.098088,1068.033333,0,0
570,2.691358771,4.090909091,5069.651723,1067.040404,1,0
571,0.722041318,4.272727273,4892.87274,1071.30303,1,0
572,0.566291105,4.141414141,4717.948569,1071.686869,0,29194.90134
573,0.739897335,5.428571429,4545.093371,1069.79798,0,29188.56717
574,0.957349866,9.194805195,4374.552411,1068.238095,0,1443.370405
575,0.951137362,2.896103896,4206.607166,1065.61039,0,698634.7624
576,0.89376311,3.25974026,4041.581238,1062.987013,0,702712.5764
577,0.945007683,3.5,3879.847156,1060.233766,0,711771.2695
578,0.898952381,3.831168831,3697.099214,1057.685714,0,708099.9768
579,1.247290309,1.792207792,3506.396092,1057.402597,0,708099.9768
580,1.878010492,2.350649351,3316.788282,1059.025974,0,699965.3849
581,2.744578151,2.108108108,3128.474942,1057.961039,0,751139.9442
582,4.293374785,5.717171717,2941.704679,1056.391892,0,56131.27959
583,4.419405478,2.848484848,2756.791137,1052.646465,0,38711.77179
584,7.263215421,9.919191919,2574.134481,1051.40404,0,5118.569488
585,3.834364781,6071.747475,2394.251299,1036.808081,1,0
586,4.930804151,1.822222222,2217.816547,1026.585859,1,0
587,4.376270339,10.73737374,2045.722657,1031.377778,1,0
588,3.8549083,159.5656566,1879.162618,1023.373737,1,0
589,7.865152741,48.35353535,1719.745068,1013.848485,1,676.0233077
590,6.301949096,7.4,1568.10623,1022.151515,1,676.0233077
591,7.277593864,29.7047619,1417.596085,1032.966667,0,0
592,7.131607133,34.17171717,1274.304173,1031.352381,0,884.0228494
593,4.51034227,8.666666667,1148.095636,1032.181818,0,0
594,5.475927009,14.72222222,1016.705554,1037.565657,0,897.7434431
595,5.712325653,2.818181818,875.2841981,1034.688889,0,0
596,9.270285227,8.707070707,739.5296201,1029.727273,0,25.79908814
597,2.262559809,19.90909091,636.5383347,1011.636364,0,0
598,0.404054555,52.42424242,586.0529362,991.2020202,0,0
599,0.564616768,68.275,574.2458205,988.5151515,1,180409.8169
606,0.623779341,9.537190083,1336.108269,982.4761905,1,0
607,0.60746607,15.58677686,1519.127917,982.785124,1,0
608,1.070547925,21.89090909,1705.96423,982.7520661,1,0
609,1.527153243,58.35714286,1895.488928,982.3818182,1,0
726,2.494133449,4.016528926,5714.398519,1072.363636,1,702404.2282
727,1.539602982,6.330578512,5529.302442,1073.793388,0,27.55107646
728,2.087666153,107.2909091,5345.280212,1070.057851,0,0
729,1.840043359,144.2396694,5162.446667,1066.7,0,0
730,3.594891343,60.45454545,4980.932708,1061.14876,0,0
