ID_fishnet,slope_mean,flowacc_mean,NEAR_DIST,elevation_mean,inundation_reclass,impervious_area
"126",0.275572411392046,7.7710843373494,1683.53208764077,,1,10142.2823104469
"127",0.380305019291964,2.35454545454545,1832.16937378681,980.10843373494,1,0
"286",0.447265578528582,14.9504132231405,1550.671455187,980.428571428571,1,0
"287",0.414338824177577,2.41322314049587,1710.89049505163,980.842975206612,1,0
"288",0.732142057269812,13.4509803921569,1878.75240789846,981.504132231405,1,0
"446",0.302071197466417,18.8454545454545,1433.48653071713,981.2,1,0
"447",0.168931748650291,6.73636363636364,1605.44322785755,981.718181818182,1,0
"448",0.75782152056694,36.67,1783.25889371115,981.945454545455,1,0
"449",0.982706089019775,70.3,1965.34389004219,980.44,1,0
"566",7.55425314469771,7.35353535353535,5791.89333368379,1085.97222222222,1,0
"567",2.45581460270015,34.8282828282828,5609.35499322724,1077.29292929293,1,0
"568",1.9125884346664,7.32222222222222,5428.04739213984,1069.75757575758,1,0
"569",2.81139481474053,4.63636363636364,5248.09808812572,1068.03333333333,0,0
"570",2.69135877083648,4.09090909090909,5069.65172313262,1067.0404040404,1,0
"571",0.722041318362409,4.27272727272727,4892.87273951962,1071.30303030303,1,0
"572",0.566291105340828,4.14141414141414,4717.94856864791,1071.68686868687,0,29194.9013438923
"573",0.739897335228855,5.42857142857143,4545.09337062283,1069.79797979798,0,29188.5671726797
"574",0.957349865725546,9.19480519480519,4374.55241127047,1068.2380952381,0,1443.37040459754
"575",0.951137362104474,2.8961038961039,4206.60716614055,1065.61038961039,0,698634.762436766
"576",0.893763110493169,3.25974025974026,4041.5812377704,1062.98701298701,0,702712.576386133
"577",0.945007682840029,3.5,3879.84715585168,1060.23376623377,0,711771.269511722
"578",0.898952381177382,3.83116883116883,3697.09921419928,1057.68571428571,0,708099.976793335
"579",1.24729030872836,1.79220779220779,3506.39609202556,1057.4025974026,0,708099.976793335
"580",1.8780104924332,2.35064935064935,3316.78828216564,1059.02597402597,0,699965.384912801
"581",2.74457815147582,2.10810810810811,3128.47494208448,1057.96103896104,0,751139.944223516
"582",4.29337478496812,5.71717171717172,2941.70467888768,1056.39189189189,0,56131.2795926289
"583",4.41940547796813,2.84848484848485,2756.7911368707,1052.64646464646,0,38711.7717886532
"584",7.26321542127566,9.91919191919192,2574.13448111555,1051.40404040404,0,5118.56948845124
"585",3.83436478132551,6071.74747474747,2394.25129871683,1036.80808080808,1,0
"586",4.93080415129662,1.82222222222222,2217.81654695478,1026.58585858586,1,0
"587",4.37627033889294,10.7373737373737,2045.72265727434,1031.37777777778,1,0
"588",3.85490829971704,159.565656565657,1879.16261803623,1023.37373737374,1,0
"589",7.86515274102038,48.3535353535354,1719.74506819003,1013.84848484848,1,676.023307710091
"590",6.30194909572601,7.4,1568.10622998471,1022.15151515152,1,676.023307710091
"591",7.27759386377132,29.7047619047619,1417.59608526512,1032.96666666667,0,0
"592",7.13160713287917,34.1717171717172,1274.30417287013,1031.35238095238,0,884.022849411362
"593",4.51034227013588,8.66666666666667,1148.09563583764,1032.18181818182,0,0
"594",5.47592700868845,14.7222222222222,1016.70555433804,1037.56565656566,0,897.743443092028
"595",5.71232565289194,2.81818181818182,875.284198100562,1034.68888888889,0,0
"596",9.27028522708199,8.70707070707071,739.529620095233,1029.72727272727,0,25.7990881394085
"597",2.26255980879068,19.9090909090909,636.53833468342,1011.63636363636,0,0
"598",0.404054555025968,52.4242424242424,586.052936213857,991.20202020202,0,0
"599",0.564616767689586,68.275,574.245820460841,988.515151515152,1,180409.816885482
"606",0.623779341209033,9.53719008264463,1336.10826865307,982.47619047619,1,0
"607",0.607466069627399,15.5867768595041,1519.12791748731,982.785123966942,1,0
"608",1.07054792534221,21.8909090909091,1705.96422993437,982.752066115703,1,0
"609",1.52715324287145,58.3571428571429,1895.48892846722,982.381818181818,1,0
"726",2.49413344879781,4.01652892561984,5714.3985194229,1072.36363636364,1,702404.228157413
"727",1.53960298211121,6.33057851239669,5529.30244154317,1073.79338842975,0,27.5510764553806
"728",2.08766615282406,107.290909090909,5345.28021167534,1070.05785123967,0,0
"729",1.84004335856635,144.239669421488,5162.44666728875,1066.7,0,0
"730",3.59489134323498,60.4545454545455,4980.93270822578,1061.14876033058,0,0
"731",1.05657308210026,3.18181818181818,4800.88801110233,1064.20661157025,1,0
"732",0.671142717038304,15.3305785123967,4622.48426134896,1070.28099173554,0,29156.2534164105
"733",0.883897002718665,16.4818181818182,4445.91900485057,1068.61983471074,0,29156.2534164105
"734",0.983229580989554,15.8842975206612,4271.42023792605,1066.64545454545,0,0
"735",0.999602605488675,18.2644628099174,4099.25187079751,1064.14049586777,0,34.1919691710557
"736",1.03801896503149,13.6611570247934,3929.72021287898,1061.38842975207,0,7836.68841466899
"737",0.97054874626073,14.6090909090909,3763.18163297791,1058.60330578512,0,713802.436876443
"738",1.14425245493897,16.2479338842975,3600.05153491655,1055.96363636364,0,22600.0187229537
"739",1.93384825690719,8.39669421487603,3440.81474440687,1055.04958677686,0,9918.72512319008
"740",2.6427956400824,11.1900826446281,3256.85529251825,1054.4132231405,0,2461.69651054588
"741",4.24547538974068,9.96363636363636,3064.86171807853,1051.6694214876,0,700868.599296965
"742",5.78161837443833,28.603305785124,2873.9603869021,1047.91818181818,0,4625.90335489783
"743",6.19712578215875,824.280991735537,2684.38433537779,1036.9173553719,0,4774.38656866317
"744",2.49700286614993,4988.13223140496,2496.43550178266,1033.85123966942,0,148.483213765337
"745",3.04207438624595,1275.28925619835,2310.51101903887,1025.62809917355,1,0
"746",3.39801756035198,4.32727272727273,2127.14177328151,1024.85950413223,1,0
"747",4.96543221828366,26.3553719008264,1947.04983967499,1033.82727272727,0,0
"748",6.17941056204236,104.98347107438,1771.23517148841,1029.04132231405,0,0
"749",5.57519431991025,41.3553719008264,1601.10742527063,1022.4958677686,1,0
"750",1.49381445212798,7.68181818181818,1438.68549092424,1034.37190082645,0,0
"751",1.41475142920313,18.0743801652893,1285.88996946909,1042.2,0,2480857.887476
"752",1.80430639923111,13.1900826446281,1135.37463052782,1043.6694214876,0,2480857.887476
"753",1.53525529814161,6.94214876033058,991.752147974797,1044.80991735537,0,2480857.887476
"754",3.84792182879014,2.83636363636364,870.542811726019,1045.61983471074,0,0
"755",9.86736746070799,11.1735537190083,733.862841863911,1041.80909090909,0,0
"756",5.6530259901827,14.2066115702479,592.441485626435,1020.96694214876,0,0
"757",0.664179199490665,19.1239669421488,460.183165102878,996.97520661157,0,182145.250968261
"758",0.0756942797298274,10.4297520661157,387.35711942269,989.859504132231,0,13515.5746450184
"759",0.372705655677296,4.23636363636364,374.245820460841,988.97520661157,0,180409.816885482
"765",0.648411746072297,112.644859813084,1073.74235887969,983.022222222222,1,0
"766",1.42325533717132,7.28925619834711,1263.12587550836,983.570093457944,1,0
"767",3.4549881407052,6.15702479338843,1455.35263819632,985.652892561983,1,0
"768",2.81840834942731,12.0727272727273,1649.4288786217,988.909090909091,1,0
"769",2.20025085811773,171.644628099174,1844.7709748794,988.618181818182,1,0
"770",2.90379125288889,135.907407407407,2041.01550064759,987.272727272727,1,0
"883",1.82883884626276,3.38095238095238,6210.16644986078,1074,0,11056.5624035457
"886",1.54410065107109,2.5702479338843,5642.93119653204,1075.23913043478,0,698634.762436766
"887",1.53083861859377,90.4380165289256,5455.41084979557,1076.0826446281,0,0
"888",2.07300804203207,12.5545454545455,5268.80846030105,1071.18181818182,0,0
"889",3.35183503805113,7.89256198347107,5083.22512216532,1071.05454545455,0,0
"890",2.26157549393079,194.702479338843,4898.77665278642,1063.54545454545,0,0
"891",2.3300491019714,4.82644628099174,4715.59622371954,1059.3305785124,1,0
"892",0.822616538725609,6.76859504132231,4533.83753529289,1067.48760330579,0,29156.2534164105
"893",0.929967371442101,29.1818181818182,4353.67865691801,1067.10743801653,0,29156.2534164105
"894",0.882891234287546,51.495867768595,4175.32668170721,1064.87272727273,0,0
"895",0.875332963860725,101.97520661157,3999.02337455644,1062.28925619835,0,0
"896",0.871657981360254,158.586776859504,3825.05202598886,1059.50413223141,0,7730.49452726838
"897",0.903698838840831,200.9,3653.74575645244,1056.90082644628,0,719174.300449633
"898",1.68632740521234,318.479338842975,3485.49754039031,1054.30909090909,0,11574.3794238888
"899",2.64253283679978,53.8677685950413,3320.77222274272,1051.01652892562,0,9539.59724572197
"900",3.73654594598723,17.1404958677686,3160.12075823256,1047.2479338843,0,708507.572452208
"901",4.56180384375832,19.8636363636364,3004.19677416194,1042.23140495868,0,698634.762436766
"902",2.46936978042618,2058.47933884298,2818.80651928707,1035.40909090909,1,0
"903",2.20888542685627,3702.77685950413,2625.25068283288,1025.52892561983,1,0
"904",3.85850735291962,812.801652892562,2432.73757365106,1024.31404958678,1,2480857.887476
"905",3.80287670251752,35.7190082644628,2241.53587006607,1028.53719008264,1,1739.8169876507
"906",2.91915483095429,24.7727272727273,2052.0121859609,1033.62809917355,0,1739.8169876507
"907",1.98280029109687,19.7107438016529,1864.67824727785,1037.22727272727,0,1773.16967594378
"908",2.793476996343,32.5289256198347,1680.26662182238,1039.06611570248,0,1739.8169876507
"909",1.66498070364156,26.404958677686,1499.85561803447,1039.85123966942,0,1739.8169876507
"910",1.20133847214959,13.2818181818182,1325.08031058074,1042.95041322314,0,2480857.887476
"911",1.01368774215052,7.97520661157025,1158.49418817184,1045.52727272727,0,2480857.887476
"912",0.81917640739236,3.70247933884298,1003.67370895408,1047.33884297521,0,2480857.887476
"913",2.3480454890196,2.38842975206612,853.158370012815,1048.67768595041,0,2480857.887476
"914",10.8446193630045,10.4818181818182,709.431829727869,1047.72727272727,0,2480857.887476
"915",7.19822094903505,20.4297520661157,592.441485626602,1030.81818181818,0,0
"916",1.05798305755804,45.1239669421488,451.020129389125,1000.78512396694,0,0
"917",0.30046378778032,75.6694214876033,309.598773151649,990.834710743802,0,182671.763587912
"918",0.238992360997791,17.2479338842975,191.397575454878,989.586776859504,0,193951.05017982
